Bedrooms,Values,Total
1,1/31/2015,219321
1,2/28/2015,219223
1,3/31/2015,219191
1,4/30/2015,218721
1,5/31/2015,217711
1,6/30/2015,217366
1,7/31/2015,216616
1,8/31/2015,216059
1,9/30/2015,213965
1,10/31/2015,213143
1,11/30/2015,214519
1,12/31/2015,215907
1,1/31/2016,216438
1,2/29/2016,217846
1,3/31/2016,219853
1,4/30/2016,222322
1,5/31/2016,223601
1,6/30/2016,224642
1,7/31/2016,225708
1,8/31/2016,226831
1,9/30/2016,228380
1,10/31/2016,227989
1,11/30/2016,226052
1,12/31/2016,223833
1,1/31/2017,223423
1,2/28/2017,222445
1,3/31/2017,220696
1,4/30/2017,218982
1,5/31/2017,217845
1,6/30/2017,216659
1,7/31/2017,214829
1,8/31/2017,213661
1,9/30/2017,212487
1,10/31/2017,212540
1,11/30/2017,212554
1,12/31/2017,213511
1,1/31/2018,214327
1,2/28/2018,215996
1,3/31/2018,216720
1,4/30/2018,217110
1,5/31/2018,216978
1,6/30/2018,217043
1,7/31/2018,217481
1,8/31/2018,218099
1,9/30/2018,218494
1,10/31/2018,218443
1,11/30/2018,218863
1,12/31/2018,217640
1,1/31/2019,215114
1,2/28/2019,211317
1,3/31/2019,209572
1,4/30/2019,209425
1,5/31/2019,210829
1,6/30/2019,212830
1,7/31/2019,214066
1,8/31/2019,212839
1,9/30/2019,211420
1,10/31/2019,209649
1,11/30/2019,208862
1,12/31/2019,208722
1,1/31/2020,209546
1,2/29/2020,210888
1,3/31/2020,211422
1,4/30/2020,210973
1,5/31/2020,209623
1,6/30/2020,207865
1,7/31/2020,206733
1,8/31/2020,207315
1,9/30/2020,208198
1,10/31/2020,209419
1,11/30/2020,209805
1,12/31/2020,210270
1,1/31/2021,210640
2,1/31/2015,231300
2,2/28/2015,231248
2,3/31/2015,231027
2,4/30/2015,231400
2,5/31/2015,232539
2,6/30/2015,233295
2,7/31/2015,234073
2,8/31/2015,234704
2,9/30/2015,235536
2,10/31/2015,235838
2,11/30/2015,235907
2,12/31/2015,236571
2,1/31/2016,238428
2,2/29/2016,240260
2,3/31/2016,242119
2,4/30/2016,242969
2,5/31/2016,243468
2,6/30/2016,244505
2,7/31/2016,246171
2,8/31/2016,247160
2,9/30/2016,247630
2,10/31/2016,247493
2,11/30/2016,247678
2,12/31/2016,247470
